letter,count_all,count_uppercase,percentage
a,2,2,100.0
c,4,4,100.0
d,2,2,100.0
e,2,2,100.0
m,1,1,100.0
n,2,2,100.0
p,2,2,100.0
t,2,2,100.0
u,2,2,100.0
w,2,2,100.0
a,24,0,0.0
b,7,0,0.0
c,4,0,0.0
d,10,0,0.0
e,25,0,0.0
g,1,0,0.0
h,7,0,0.0
i,14,0,0.0
k,1,0,0.0
l,5,0,0.0
m,2,0,0.0
n,9,0,0.0
o,6,0,0.0
p,7,0,0.0
r,15,0,0.0
s,10,0,0.0
t,18,0,0.0
u,4,0,0.0
v,4,0,0.0
w,3,0,0.0
x,2,0,0.0
y,8,0,0.0
